TICKER,SNAPSHOT_DATE,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY,LOADED_AT
MRO.L,2025-09-11,false,,,,,,
CAP.PA,2025-09-11,false,,,,,,
ALC.SW,2025-09-11,false,,,,,,
AMP.MI,2025-09-11,false,,,,,,
NWG.L,2025-09-11,false,,,,,,
SRT3.DE,2025-09-11,false,,,,,,
PHNX.L,2025-09-11,false,,,,,,
TEL2-B.ST,2025-09-11,false,,,,,,
RR.L,2025-09-11,false,,,,,,
RI.PA,2025-09-11,false,,,,,,
DHL.DE,2025-09-11,false,,,,,,
ALW.L,2025-09-11,false,,,,,,
TRN.MI,2025-09-11,false,,,,,,
SAF.PA,2025-09-11,false,,,,,,
MTX.DE,2025-09-11,false,,,,,,
DSFIR.AS,2025-09-11,false,,,,,,
AGN.AS,2025-09-11,false,,,,,,
LIFCO-B.ST,2025-09-11,false,,,,,,
BA.L,2025-09-11,false,,,,,,
EXO.AS,2025-09-11,false,,,,,,
ABN.AS,2025-09-11,false,,,,,,
ASRNL.AS,2025-09-11,false,,,,,,
ITX.MC,2025-09-11,false,,,,,,
NXT.L,2025-09-11,false,,,,,,
HEI.DE,2025-09-11,false,,,,,,
IHG.L,2025-09-11,false,,,,,,
HSX.L,2025-09-11,false,,,,,,
IDR.MC,2025-09-11,false,,,,,,
MUV2.DE,2025-09-11,false,,,,,,
ROVI.MC,2025-09-11,false,,,,,,
REL.L,2025-09-11,false,,,,,,
KGF.L,2025-09-11,false,,,,,,
EQT.ST,2025-09-11,false,,,,,,
AZN.ST,2025-09-11,false,,,,,,
AV.L,2025-09-11,false,,,,,,
ALV.DE,2025-09-11,false,,,,,,
UU.L,2025-09-11,false,,,,,,
UNI.MC,2025-09-11,false,,,,,,
BT-A.L,2025-09-11,false,,,,,,
BVI.PA,2025-09-11,false,,,,,,
SIE.DE,2025-09-11,false,,,,,,
EDV.L,2025-09-11,false,,,,,,
CPR.MI,2025-09-11,false,,,,,,
CTEC.L,2025-09-11,false,,,,,,
BP.L,2025-09-11,false,,,,,,
RMV.L,2025-09-11,false,,,,,,
STLAP.PA,2025-09-11,false,,,,,,
NTGY.MC,2025-09-11,false,,,,,,
SY1.DE,2025-09-11,false,,,,,,
SCA-B.ST,2025-09-11,false,,,,,,
BTRW.L,2025-09-11,false,,,,,,
ENR.DE,2025-09-11,false,,,,,,
AC.PA,2025-09-11,false,,,,,,
URW.PA,2025-09-11,false,,,,,,
PUIG.MC,2025-09-11,false,,,,,,
VOLV-B.ST,2025-09-11,false,,,,,,
EN.PA,2025-09-11,false,,,,,,
