TICKER,PE_TRAILING,PE_FORWARD,PRICE_TO_BOOK,EV_TO_EBITDA,DIVIDEND_YIELD,PAYOUT_RATIO,MARKET_CAP,ENTERPRISE_VALUE,SHARES_OUTSTANDING
HSBA.L,13.4906660,10.430927000,102.44001000,,5.01,0.63790000,175102099456,-7200308224,17305999360
HSX.L,10.1984130,9.379561000,113.41571000,5.581,2.57,0.25220000,4345754624,4129293312,334030016
HWDN.L,18.2065220,0.168680760,650.23290000,13.002,2.57,0.45790002,4545137664,5073424896,542300992
IAG.L,6.8267856,8.495556000,299.84314000,3.772,2.01,0.13930000,18253678592,23309479936,4621499904
IAG.MC,6.8061540,3.749152400,3.46980380,4.226,2.03,0.13930000,21180475392,26114746368,4621499904
IBE.MC,20.9000000,22.077465000,2.21273300,9.854,4.08,0.85790000,105095708672,167788789760,6681229824
ICG.L,14.6883130,0.127681200,260.05978000,,3.77,0.51690000,6574232064,6916513792,290638016
IDR.MC,15.3395340,37.056180000,4.03030700,12.461,0.76,0.11640000,5788154368,5907959808,175504992
IFX.DE,33.6000020,16.538860000,2.57856060,10.413,1.10,0.36840000,41476526080,45391839232,1299389952
IG.MI,11.3805970,12.923729000,2.22497800,12.698,5.01,0.56560004,7737011200,19052914688,1014689984
IHG.L,25.7314280,23.211340000,-532.39530000,15.017,1.44,0.34910000,13908234240,17569378304,152208992
III.L,7.3953934,0.070579400,151.13953000,7.609,1.89,0.12490000,38424313856,38024617984,965433984
IMB.L,10.6200000,0.102105570,535.82240000,9.213,6.04,0.51210000,25697415168,37469470720,806572992
IMCD.AS,20.1969360,13.653846000,2.75818800,12.810,2.33,0.47050000,5539661824,6992579584,59032800
IMI.L,24.6881710,0.173834040,634.78020000,14.655,1.42,0.33330002,5707947520,6542183936,246214000
INDU-C.ST,12.2251480,,0.97089410,12.334,2.22,0.27160000,160540999680,164096327680,194850000
INF.L,177.2800000,0.156773970,200.63377000,13.478,2.34,3.63640020,11591896064,15211830272,1289560064
INGA.AS,10.6783910,10.519802000,1.22414890,,5.00,0.53270000,62689411072,62625374208,2941760000
INVE-B.ST,37.4606320,18.123810000,1.04083490,28.916,1.82,0.64879996,877881524224,946966233088,1816089984
INW.MI,25.8974380,21.956522000,2.53069420,18.730,5.10,1.33230000,9197040640,14262181888,910598016
