TICKER,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY
BPSO.MI,true,25.62,,,,0
BT-A.L,true,21.05,4.16,13.21,3.69,2
BTRW.L,true,11.77,4.50,5.38,1.89,2
BVI.PA,true,10.57,0.05,5.27,5.24,1
BZU.MI,true,28.59,16.87,4.93,6.79,2
CA.PA,true,20.63,5.54,10.41,4.68,2
CABK.MC,true,12.98,0.00,7.34,5.64,2
CAP.PA,true,7.59,1.73,4.49,1.37,2
CBK.DE,true,21.59,1.01,11.39,9.20,2
CCEP.L,true,17.00,8.93,5.95,2.12,2
CCH.L,true,19.23,9.70,6.77,2.77,2
CFR.SW,true,15.87,3.42,6.42,6.03,2
CLNX.MC,true,12.35,1.66,8.36,2.33,0
CNA.L,true,24.93,11.77,10.13,3.03,2
COL.MC,true,6.03,0.94,2.12,2.97,0
CON.DE,true,24.33,8.46,9.38,6.49,2
CPG.L,true,20.28,8.52,10.22,1.54,2
CPR.MI,true,20.59,9.50,7.22,3.88,1
CRDA.L,true,23.53,15.65,4.42,3.46,2
CS.PA,true,16.29,0.74,10.73,4.82,2
CTEC.L,true,10.66,2.25,5.38,3.03,1
DB1.DE,true,14.55,1.98,6.27,6.30,2
DBK.DE,true,20.00,1.25,10.63,8.12,3
DCC.L,true,23.64,9.95,10.92,2.78,1
DG.PA,true,25.39,9.36,11.01,5.02,2
DGE.L,true,17.55,5.43,7.86,4.26,2
DHL.DE,true,18.08,4.73,9.46,3.90,2
DIA.MI,true,17.96,1.37,10.46,6.14,0
DPLM.L,true,15.12,3.36,7.20,4.56,0
DSFIR.AS,true,14.69,3.82,5.60,5.27,2
DSY.PA,true,12.84,2.73,5.80,4.31,0
DTE.DE,true,18.61,3.86,9.82,4.93,2
DTG.DE,true,24.26,10.78,8.72,4.76,3
EDEN.PA,true,14.75,1.05,9.81,3.90,2
EDV.L,true,17.90,8.91,6.28,2.71,2
EL.PA,true,16.67,1.45,9.19,6.04,2
ELE.MC,true,23.11,11.23,8.15,3.73,2
EN.PA,true,32.49,13.05,13.57,5.87,2
ENEL.MI,true,21.88,7.68,10.39,3.81,2
ENG.MC,true,16.16,6.29,6.17,3.71,1
ENGI.PA,true,27.43,11.52,10.63,5.28,2
ENI.MI,true,31.80,18.84,8.10,4.86,2
ENR.DE,true,14.09,5.71,5.19,3.19,2
ENT.L,true,20.63,3.28,13.25,4.10,2
EOAN.DE,true,19.04,6.41,9.66,2.97,2
EPI-A.ST,true,19.04,8.07,7.09,3.89,0
EQT.ST,true,17.40,0.10,8.58,8.73,2
ERF.PA,true,17.92,1.80,11.08,5.04,1
ERIC-B.ST,true,15.09,3.54,7.35,4.20,2
ESSITY-B.ST,true,23.48,9.09,8.63,5.77,2
