TICKER_YAHOO,NOMBRE,PAIS,TICKET
ACA.PA,Credit Agricole SA,Francia,ACA
HO.PA,Thales SA,Francia,HO
BN.PA,Danone SA,Francia,BN
SGO.PA,Compagnie de Saint-Gobain SA,Francia,SGO
ENGI.PA,ENGIE S.A.,Francia,ENGI
GLE.PA,Societe Generale S.A. Class A,Francia,GLE
DSY.PA,Dassault Systemes SE,Francia,DSY
ORA.PA,Orange SA,Francia,ORA
LR.PA,Legrand SA,Francia,LR
KER.PA,Kering SA,Francia,KER
STLAP.PA,Stellantis N.V.,Francia,STLAP
RI.PA,Pernod Ricard SA,Francia,RI
ML.PA,Cie Generale des Etablissements Michelin SA,Francia,ML
CAP.PA,Capgemini SE,Francia,CAP
VIE.PA,Veolia Environnement SA,Francia,VIE
PUB.PA,Publicis Groupe SA,Francia,PUB
STMPA.PA,STMicroelectronics NV,Francia,STMPA
EN.PA,Bouygues SA,Francia,EN
URW.PA,Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,Francia,URW
BVI.PA,Bureau Veritas SA,Francia,BVI
ERF.PA,Eurofins Scientific SE,Francia,ERF
AC.PA,Accor SA,Francia,AC
RNO.PA,Renault SA,Francia,RNO
CA.PA,Carrefour SA,Francia,CA
EDEN.PA,Edenred SA,Francia,EDEN
TEP.PA,Teleperformance SE,Francia,TEP
UCG.MI,UniCredit S.p.A.,Italia,UCG
ISP.MI,Intesa Sanpaolo S.p.A.,Italia,ISP
RACE.MI,Ferrari NV,Italia,RACE
ENEL.MI,Enel SpA,Italia,ENEL
G.MI,Assicurazioni Generali S.p.A.,Italia,G
ENI.MI,Eni S.p.A.,Italia,ENI
STLAM.MI,Stellantis N.V.,Italia,STLAM
LDO.MI,Leonardo SpA,Italia,LDO
PST.MI,Poste Italiane SpA,Italia,PST
PRY.MI,Prysmian S.p.A.,Italia,PRY
STMMI.MI,STMicroelectronics NV,Italia,STMMI
BAMI.MI,Banco BPM SpA,Italia,BAMI
BPE.MI,BPER Banca S.p.A.,Italia,BPE
SRG.MI,Snam S.p.A.,Italia,SRG
TRN.MI,Terna S.p.A.,Italia,TRN
MB.MI,Mediobanca - Banca di Credito Finanziario S.p.A.,Italia,MB
TEN.MI,Tenaris S.A.,Italia,TEN
MONC.MI,Moncler SpA,Italia,MONC
BMED.MI,Banca Mediolanum SpA,Italia,BMED
UNI.MI,UNIPOL ASSICURAZIONI SPA,Italia,UNI
FBK.MI,FinecoBank SpA,Italia,FBK
REC.MI,Recordati Industria Chimica e Farmaceutica S.p.A.,Italia,REC
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,Italia,BMPS
TIT.MI,Telecom Italia S.p.A.,Italia,TIT
INW.MI,Infrastrutture Wireless Italiane S.p.A.,Italia,INW
BZU.MI,Buzzi Spa,Italia,BZU
IG.MI,Italgas SpA,Italia,IG
CPR.MI,Davide Campari-Milano N.V.,Italia,CPR
A2A.MI,A2A S.p.A.,Italia,A2A
BC.MI,Brunello Cucinelli S.p.A.,Italia,BC
IVG.MI,Iveco Group NV,Italia,IVG
PIRC.MI,Pirelli & C. S.p.A.,Italia,PIRC
