TICKER,YEAR,ASSETS,LIABILITIES,EQUITY,REVENUE,EXPENSES,NET_INCOME,OPERATING_CF,INVESTING_CF,FINANCING_CF,FREE_CF,NET_MARGIN,ROA,ROE,DEBT_EQUITY
AGN.AS,2023,301581000000.0000,292027000000.0000,9426000000.0000,20055000000.0000,20234000000.0000,-179000000.000000,864000000.00000,-1996000000.000000,-3241000000.000000,748000000.00000,-0.009,-0.001,-0.019,30.981
AGN.AS,2024,327390000000.0000,318077000000.0000,9187000000.0000,19519000000.0000,18831000000.0000,688000000.000000,762000000.00000,300000000.000000,-1755000000.000000,696000000.00000,0.035,0.002,0.075,34.623
AHT.L,2021,,,,,,,,,,,,,,
AHT.L,2022,15290100000.0000,10256400000.0000,5033700000.0000,7962300000.0000,6711200000.0000,1251100000.000000,1499000000.00000,-1691000000.000000,181500000.000000,1100600000.00000,0.157,0.082,0.249,2.038
AHT.L,2023,18729300000.0000,12721300000.0000,6008000000.0000,9667300000.0000,8049600000.0000,1617700000.000000,1000100000.00000,-1594200000.000000,609300000.000000,490100000.00000,0.167,0.086,0.269,2.117
AHT.L,2024,21651300000.0000,14566700000.0000,7084600000.0000,10858700000.0000,9260300000.0000,1598400000.000000,854600000.00000,-1526800000.000000,663200000.000000,169000000.00000,0.147,0.074,0.226,2.056
AI.PA,2021,46783100000.0000,24784300000.0000,21462300000.0000,23334800000.0000,20762600000.0000,2572200000.000000,5570700000.00000,-3351500000.000000,-1815700000.000000,2653900000.00000,0.110,0.055,0.120,1.155
AI.PA,2022,49518000000.0000,24946000000.0000,23736400000.0000,29934000000.0000,27175200000.0000,2758800000.000000,5810100000.00000,-3241900000.000000,-2781000000.000000,2537100000.00000,0.092,0.056,0.116,1.051
AI.PA,2023,48332400000.0000,23289300000.0000,24321500000.0000,27607600000.0000,24529600000.0000,3078000000.000000,6263000000.00000,-3079000000.000000,-3479700000.000000,2869600000.00000,0.111,0.064,0.127,0.958
AI.PA,2024,51867500000.0000,24246200000.0000,26860000000.0000,27057800000.0000,23751700000.0000,3306100000.000000,6322200000.00000,-3583400000.000000,-2807600000.000000,2797100000.00000,0.122,0.064,0.123,0.903
AIR.DE,2021,107047000000.0000,97561000000.0000,9466000000.0000,52149000000.0000,47936000000.0000,4213000000.000000,4639000000.00000,-2719000000.000000,-2179000000.000000,2711000000.00000,0.081,0.039,0.445,10.306
