Ticker,Year,CashAndCashEquivalents,CashFinancial,CashCashEquivalentsAndShortTermInvestments,TradingSecurities,OtherShortTermInvestments,AccountsReceivable,OtherReceivables,LoansHeldForSale,OtherCurrentAssets,LongTermInvestments,InvestmentsAndAdvances,Properties,MachineryFurnitureEquipment,ConstructionInProgress,OtherIntangibleAssets,Goodwill,GoodwillAndOtherIntangibleAssets,OtherNonCurrentAssets,DeferredTaxAssets,NetTangibleAssets,TotalAssets,AccountsPayable,CurrentNotesPayable,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentAccruedExpenses,PayablesAndAccruedExpenses,IncomeTaxPayable,TaxesPayable,SecuritiesSoldUnderRepurchaseAgreements,FederalFundsPurchasedAndSecuritiesSoldUnderRepurchaseAgreements,LiabilitiesOfDiscontinuedOperations,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,TotalDebt,NetDebt,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,ShareIssued,CommonStock,CapitalStock,CommonStockEquity,OrdinarySharesNumber,TreasuryStock,AdditionalPaidInCapital,InvestedCapital,TotalCapitalization,RetainedEarnings,UnrealizedGainLoss,GainsLossesNotAffectingRetainedEarnings,ForeignCurrencyTranslationAdjustments,OtherEquityAdjustments,TotalEquityGrossMinorityInterest,RevaluationReserve,TangibleBookValue
SIKA.SW,2021,1175.0,,1179.5,,4.5,1576.8,200.7,,,,,0.0,941.3,106.8,1083.3,3296.6,4379.9,2.4,,13.9,10706.8,1033.2,,216.7,290.2,,1203.5,,,,,,3130.4,3374.5,365.9,365.9,3664.7,2172.1,6310.9,4393.8,143.04,1.4,1.4,4393.8,143.01,10.7,437.4,7740.9,7524.2,4960.9,,4960.9,,,4395.9,,13.9
SIKA.SW,2022,1873.3,,1876.1,,2.8,1719.6,206.0,,,,,0.0,3176.8,153.2,1003.4,3225.7,4229.1,1.8,,737.1,11319.2,1016.6,,211.0,289.1,,1222.5,,,,,,3349.6,3605.7,322.5,322.5,3894.8,1687.3,6352.1,4966.2,153.74,1.5,1.5,4966.2,153.67,15.1,1878.8,8526.8,8315.8,4333.7,,4333.7,,,4967.1,,737.1
SIKA.SW,2023,643.9,,648.2,,4.3,2013.1,256.1,,,,,0.0,3493.8,201.6,2023.2,6194.9,8218.1,2.7,,-2297.7,15049.2,1108.2,,1016.9,1128.9,,1472.7,,,,,,4422.2,4709.2,402.7,402.7,5838.1,4795.2,9116.0,5920.4,160.48,1.6,1.6,5920.4,160.43,11.9,3143.0,11359.5,10342.6,4826.1,,4826.1,,,5933.2,,-2297.7
SIKA.SW,2024,707.5,,712.9,,5.4,2175.0,292.3,,4.2,,,0.0,3810.9,280.5,2046.7,6569.4,8616.1,0.4,,-1583.3,15977.2,1212.3,,205.8,319.5,,1580.0,,,,,,5094.6,5404.2,338.9,338.9,5723.7,4592.9,8930.4,7032.8,160.48,1.6,1.6,7032.8,160.44,8.8,2878.3,12333.2,12127.4,5887.0,,5887.0,,,7046.8,,-1583.3
SIKA.SW,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKA-B.ST,2020,,19508.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKA-B.ST,2021,10947.0,10947.0,10947.0,,,14863.0,29382.0,,,,,0.0,23925.0,132.0,677.0,3934.0,4611.0,,,40740.0,139039.0,12426.0,,4644.0,5564.0,,20389.0,,,,,,2834.0,8874.0,1254.0,1254.0,14438.0,,93574.0,45351.0,419.9,1260.0,1260.0,45351.0,412.25,,3715.0,52829.0,48185.0,37510.0,,37510.0,,,45465.0,,40740.0
SKA-B.ST,2022,10014.0,10014.0,10014.0,,,15172.0,29215.0,,,,,0.0,25650.0,294.0,486.0,4160.0,4646.0,3.0,,50465.0,151593.0,13998.0,,4624.0,5577.0,,23067.0,,,,,,2662.0,8990.0,1943.0,1943.0,14567.0,,96338.0,55111.0,419.9,1260.0,1260.0,55111.0,411.13,,4186.0,62397.0,57773.0,44161.0,,44161.0,,,55255.0,,50465.0
SKA-B.ST,2023,17912.0,,17912.0,,,14392.0,22563.0,,,,,0.0,26891.0,131.0,347.0,3919.0,4266.0,4.0,,51936.0,155189.0,13105.0,,3469.0,4378.0,,21929.0,,,,,,7251.0,13388.0,2218.0,2218.0,17766.0,,98841.0,56202.0,419.9,1260.0,1260.0,56202.0,410.19,,4656.0,66922.0,63453.0,45777.0,,45777.0,,,56348.0,,51936.0
SKA-B.ST,2024,18426.0,,18426.0,,13777.0,18204.0,29004.0,,-2.0,,,0.0,29330.0,96.0,256.0,4082.0,4338.0,,,58128.0,171207.0,15077.0,,3212.0,4219.0,,25062.0,,,,,,8764.0,14887.0,2424.0,2424.0,19106.0,,108590.0,62466.0,419.9,1260.0,1260.0,62466.0,411.52,,5018.0,74442.0,71230.0,49800.0,,49800.0,,,62617.0,,58128.0
