Ticker,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherWorkingCapital,ChangesInAccountReceivables,ChangeInAccountPayable,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,CapitalExpenditure,PurchaseOfPropertyPlantAndEquipment,SaleOfPropertyPlantAndEquipment,PurchaseOfIntangibleAssets,SaleOfIntangibleAssets,PurchaseOfInvestment,SaleOfInvestment,PurchaseOfBusiness,SaleOfBusiness,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,NetBusinessPurchaseAndSale,NetOtherInvestingChanges,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,IssuanceOfCapitalStock,CommonStockIssuance,RepurchaseOfCapitalStock,CashDividendsPaid,IssuanceOfDebt,RepaymentOfDebt,IssuanceOfLongTermDebt,RepaymentOfLongTermDebt,NetBorrowings,NetOtherFinancingCharges,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,EffectOfExchangeRateChanges,ChangeInCashSupplementalAsReported,BeginningCashPosition,EndCashPosition,FreeCashFlow
ORA.PA,7933,1195,-1312,,,,-1413,,10195,,-7028,,,,,-1267,436,-128,6231,,-831,-6758,6103,26,-1460,,,,,-1915,1243,-2441,,,,-165,-5726,,139,,5618,8766,3167
RI.PA,441,432,-768,,,,,,1727,,-773,,,,,-245,334,,,-765,89,,,,-676,,,,,-1208,2815,-1357,,,,,-209,,232,,1609,2683,954
PUB.PA,815,,-161,,,,,,2301,,-238,,,,,,34,-915,0,,34,-235,-915,,-1116,,,,,-853,1,-603,,,,166,-2007,,215,,4249,3642,2063
RNO.PA,3183,-5017,1096,,,,-212,923,7161,,-2962,,,,,-445,1648,-282,,-1288,1203,-1580,-282,-88,-2035,,,,,-536,0,-1578,,,,-850,-3234,,-27,,20677,22542,4199
SAF.PA,1406,-907,7,,,,1459,,4733,,-1544,,,,,-417,113,,,-172,-304,-1044,,,-1848,,0,0,-1320,-911,56,-863,,,,-21,-3073,,26,,6676,6514,3189
SGO.PA,2631,36,-74,,,,-97,,5569,,-2083,,,,,-219,18,-3331,30,,-201,-1925,-3301,163,-5266,,222,222,-811,-1045,3674,-1624,,,,-83,-402,,-58,,8602,8460,3486
SAN.PA,3586,136,-615,-899,-28,789,,,9081,8607,-3195,,,,,,,-2524,0,,,-1734,-2524,-40,-4407,-4298,187,187,-302,-4704,0,-953,,,,-38,-5763,-5751,-13,,8710,7441,5886
SU.PA,1538,200,-728,,,,-134,,5580,,-1419,,,,,,,-535,83,-469,-91,-895,-452,-80,-1987,,,,,-1963,3466,-2722,,,,-183,-1624,,189,,4654,6812,4161
GLE.PA,10086,1700,-26504,,,,-19758,,-10098,,-11433,,,,,,,,,,-2310,-11433,,,-13743,,,,,,,,,,,155,-1273,,2236,,241997,219119,-21531
STLAP.PA,7226,1927,-8093,-1619,786,-4007,-3885,,4008,4008,-11060,,,,,,,-1652,261,,,-10472,-1391,-4119,-15982,-15982,104,104,-3000,-4651,,,,,,2407,2061,2061,410,,43669,34100,-7052
STMPA.PA,1760,-212,-495,-261,-32,-35,,,2965,2965,-3181,,,,,-3258,2251,,,-93,-1007,-3083,,441,-3742,-3742,,,-359,-288,300,-203,,,,395,-155,-155,-8,,3222,2282,-216
TEP.PA,779,260,103,,,,140,,1813,,-219,,,,,,,-7,,-214,,,-7,,-221,,,,-184,-231,,,,,,-473,-1403,,-7,,867,1049,1594
HO.PA,1155.4,414.1,26.1,,,,1711.1,0,2746.4,,-623.1,,,,,,,-1667.1,2018.2,,101.5,-616.8,351.1,-34.9,-27.9,,,,-275.4,-708.4,158.2,-1155.1,,,,-7.3,-1995,,63.7,,4207.3,4767.1,2123.3
TTE.PA,13107,535,2364,,3884,-889,-3556,,30854,30854,-14909,,,,,,347,-4566,2167,-14182,347,,-2399,-1098,-17332,-17332,521,521,-7995,-7717,7563,-802,,,,-853,-14425,-14425,-516,,27263,25844,15945
URW.PA,127.6,466.1,-93.3,,,,,,2190.2,,-1308.3,,,,,-21.5,436.6,-68.9,,,415.1,-1308.3,-68.9,,-537.1,,5.2,5.2,,-347.9,1568.7,-2531.4,,,,608,-1882.3,,15.6,,5496.1,5282.5,881.9
VIE.PA,2996,943,-195,,,,-195,,5038,,,,,,,-3672,1176,,,,-2496,212,,-2,-2115,,341,341,-8,-1218,1462,-840,,,,-238,-1857,,20,,8317,9404,5038
DG.PA,3998,1395,2311,,,,-667,1754,11714,,-4052,,,,,,,-5006,409,,,-3882,-4597,-572,-9051,,668,668,-1912,-2570,4117,-1993,,,,310,-3027,,,,14701,14297,7662
ADS.DE,1171,154,685,,,,,,2910,,-540,,,,,,,,100,-121,-22,-370,100,,-356,,24,24,-35,-125,3,-500,,,,-13,-1559,,29,,1431,2455,2370
AIR.DE,2853,98,1337,,,,6146,,7402,,-3669,,,,,-4460,1769,-1117,530,-3571,-2691,,-587,,-6653,,,,,-2215,,,,,,-78,-2570,,358,,16473,15010,3733
ALV.DE,2154,-4617,16799,,,,13212,623,31903,,-1915,,,,,-281487,257692,-1189,464,,-23795,-1643,-725,536,-25675,,,,,-5751,9206,-6087,,,,172,-4364,,426,,29210,31637,29988
BAS.DE,4648,390,871,,,,383,-76,6946,,-6198,,,,,-1395,1831,-202,75,,436,-6198,-127,808,-5081,,,,-46,-3284,,,,,,1783,-1547,,-21,,2624,2921,748
BAYN.DE,8783,1897,85,,,,-19,,7368,,-2778,,,,,-251,2576,-184,17,,2325,-2483,-167,,164,,0,0,-16,-131,5815,-10833,,,,-36,-7178,,-68,,5907,6191,4590
BEI.DE,357,-42,-38,,,,,279,1231,,-437,,,,,-635,942,-121,0,,307,-415,-121,4,-126,,,,-501,-14,116,-269,,,,,-1029,,-2,,1133,1207,794
BMW.DE,8650,-94,-8825,,,,-3559,,7566,,-12205,,,,,-1224,1847,,,-12184,623,,,192,-11369,,,,-1024,-3781,30025,-22182,,,,3937,5766,,-3,,17327,19287,-4639
BNR.DE,444.1,142.4,-108.7,,,,-33.4,,906.6,,-342.2,,,,,-0.3,0.4,-436.1,0,-313,0.1,,-436.1,,-749,,,,-250.1,-303.2,1262.5,-453.2,,,,-76.1,23,,11.5,,576.9,763.3,564.4
CBK.DE,,-5776,-27125,,,,-560,-1989,-20315,,-1146,,,,,,,-262,59,,,-1111,-203,1,-1313,,,,-1072,-415,,,,,,1099,565,,939,,93126,73001,-21461
CON.DE,2211,398,-521,,,,-474,,2934,,-1954,,,,,,,-13,74,,,72,61,,-1821,,,,,-440,600,-858,,,,-31,-1072,,3,,2923,2966,980
1COV.DE,984,114,83,,,,-7,,870,,-781,,,,,-81,302,,0,,221,-705,0,,-423,,,,0,-1,1195,-1609,,,,,-565,,2,,625,509,89
DTG.DE,1153,657,-2441,,,,-397,,1555,,-1876,,,,,-2682,2374,-388,64,-459,-308,-1300,-324,-161,-2552,,,,-850,-1528,10417,-8310,,,,,403,,80,,7067,6553,-321
DBK.DE,,-4,-37704,-613,,,13990,-19800,-28584,-28583,-528,,,,,-53063,48161,,,,-4902,-508,3,-1374,-6781,-6782,0,0,-1132,-883,20,-705,,,,2054,-646,-647,2910,,163768,130666,-29112
DB1.DE,495.8,-73.9,-248.5,,,,,-470.2,2410.7,,-360.6,,,,,-446.2,390,-21,9.1,-302.5,-56.2,-54.6,-11.9,365.2,-60,,9.4,9.4,-297.8,-697.8,0,-222.3,,,,,-1353.9,,-28.5,,2955.2,3923.5,2050.1
DPW.DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTE.DE,24027,-1457,-1714,,,,682,-1636,39874,,-19171,,,,,-887,1331,-357,1,-7927,444,-11055,-356,-6,-18900,,,,-1974,-5592,,,,,,-6507,-20282,,506,,7274,8472,20703
EOAN.DE,4401,374,-4931,,,,,-7953,5673,,-6971,,,,,-2654,2700,,,-6868,46,,,196,-6626,,,,,-1384,,,,,,3001,1106,,24,,5585,5762,-1298
FRE.DE,1204,,336,,,,175,,2447,,-923,,,,,-80,394,,,,314,-916,,-20,-510,,,,,,302,-2242,,,,-62,-2183,,-2,,2562,2282,1524
FME.DE,1742.26,335.47,444.31,,-73.48,155.59,-227.97,,2386.14,2386.14,-699.36,,,,,-81.5,75.13,-23.07,629.75,,-6.37,-685.25,606.68,,-84.94,-84.94,,,,-349.16,146.32,-2051.47,,,,-314.99,-2569.3,-2569.3,26.2,,1427.22,1185.33,1686.79
HNR1.DE,,-446.4,3731.5,,,,855,,5681.9,,,,,,,-31558.3,27236.5,-128.6,252.2,,-4321.8,,123.6,-40,-4412.1,,16.3,16.3,-1.7,-913.1,,,,,,-206.5,-1105,,33.5,,1054.8,1253.1,5681.9
HEI.DE,1545,76.1,-110.2,,,,-198.1,87.9,3231.7,,-1410.1,,,,,-68.3,128.2,-774.3,51.1,-86.6,59.9,-1172.9,-723.2,110.1,-1812.7,,,,-350,-546.2,1302.8,-1756.3,,,,14,-1450.1,,-14.4,,3266.5,3220.1,1821.6
HEN3.DE,826,,33,,,,82,-64,3120,,-626,,,,,,,-1346,92,-610,-552,,-1254,,-2330,,,,0,-771,1223,0,,,,-117,171,,-23,,1951,2889,2494
IFX.DE,1865,90,-239,,,,830,,2780,,-2719,,,,,-7027,8378,-832,19,-287,1351,-2418,-813,,-2167,,,,-233,-456,2750,-2573,,,,-29,-615,,-12,,1820,1806,61
MBG.DE,6772,-1362,694,,,,-203,,17735,,-8665,,,,,-6785,6160,-363,716,-4626,-625,-3851,353,-1,-8750,,,,-4921,-5486,,,,,,-106,-10752,,311,,15972,14516,9070
MRK.DE,2134,-22,-310,,,,-309,,4586,,-2184,,,,,,,-774,7,-464,,-1675,-767,-144,-3050,,,,,-284,2796,-2743,,,,-745,-985,,-16,,1982,2517,2402
MTX.DE,483,250,-670,,,,-696,,714,,-640,,,,,-23,35,,,58,12,,,-33,-603,,,,,-117,1045,0,,,,-123,736,,17,,883,1747,74
