Ticker,Year,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,Net Income From Continuing Operations,DepreciationAmortizationDepletion,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,TaxesRefundPaid,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetInvestmentPurchaseAndSale,PurchaseOfInvestments,SaleOfInvestments,NetPPEPurchaseAndSale,PurchaseOfPPE,SaleOfPPE,NetIntangiblesPurchaseAndSale,PurchaseOfIntangibles,SaleOfIntangibles,NetBusinessPurchaseAndSale,PurchaseOfBusiness,SaleOfBusiness,Net Other Investing Changes,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetLongTermDebtIssuance,Net Issuance Payments Of Debt,LongTermDebtIssued,LongTermDebtPayments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Cash Dividends Paid,Net Other Financing Charges,EndCashPosition,ChangeInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
SY1.DE,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEF.MC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,323.0,-223.0,,,,,,,,323.0,,,-223.0,
TEF.MC,2021,,5896.0,,,,,,,,,-459.0,5896.0,5896.0,-1020.0,-3058.0,2038.0,-6164.0,-6728.0,564.0,,,,13872.0,-414.0,14286.0,-792.0,-12990.0,-12990.0,-8129.0,-8129.0,3646.0,-11775.0,-604.0,0.0,-604.0,-622.0,-4239.0,8580.0,3155.0,-179.0,5604.0,-6728.0,0.0,3646.0,-11775.0,-604.0,3540.0
TEF.MC,2022,,-5327.0,,,,,,,,,-92.0,-5327.0,-5327.0,1921.0,-2575.0,4496.0,-5508.0,-6350.0,842.0,,,,-633.0,-898.0,265.0,-1107.0,-7925.0,-7925.0,-6029.0,-6029.0,2585.0,-8614.0,,,,-968.0,-928.0,7245.0,-1491.0,156.0,8580.0,-6350.0,,2585.0,-8614.0,,5413.0
TEF.MC,2023,,-4286.0,,,,,,,,,-454.0,-4286.0,-4286.0,782.0,-1475.0,2257.0,-5851.0,-6161.0,310.0,,,,-121.0,-249.0,128.0,904.0,-7186.0,-7186.0,-2815.0,-2815.0,2707.0,-5522.0,,,,-1717.0,-2654.0,7151.0,164.0,-258.0,7245.0,-6161.0,,2707.0,-5522.0,,5488.0
TEF.MC,2024,,-5223.0,,,,,,,,,-668.0,-5223.0,-5223.0,255.0,-1196.0,1451.0,-5521.0,-5790.0,269.0,,,,31.0,-189.0,220.0,12.0,-4672.0,-4672.0,-859.0,-859.0,3547.0,-4406.0,,,,-1757.0,-2056.0,8062.0,1102.0,-191.0,7151.0,-5790.0,,3547.0,-4406.0,,5204.0
TEF.MC,2025,,-1839.0,,,,,,,,,-127.0,-1978.0,-1839.0,-105.0,,,-1299.0,,,,,,-435.0,,,,-1053.0,-999.0,202.0,202.0,1058.0,-856.0,-76.0,-76.0,,-812.0,-313.0,6505.0,-439.0,-115.0,7059.0,-1299.0,,1058.0,-856.0,,1309.0
TEL2-B.ST,2020,,,,,,,,,,,,,,,-3.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
TEL2-B.ST,2021,10297.0,,4306.0,4391.0,5952.0,108.0,759.0,212.0,268.0,759.0,,-3025.0,,-1.0,-1.0,,-1920.0,-1921.0,1.0,-1407.0,-1407.0,,302.0,0.0,302.0,1.0,-7260.0,,130.0,130.0,5312.0,-5182.0,,,,-6205.0,,880.0,12.0,-102.0,970.0,-3328.0,,5312.0,-5182.0,,6969.0
TEL2-B.ST,2022,8250.0,,5574.0,6191.0,6191.0,265.0,-1380.0,-385.0,-34.0,-1380.0,,5259.0,,-156.0,-156.0,,-2573.0,-2593.0,20.0,-988.0,-988.0,,8976.0,-6.0,8982.0,,-13638.0,,1218.0,1218.0,5211.0,-3993.0,,,,-13629.0,-1.0,1116.0,-129.0,366.0,880.0,-3581.0,,5211.0,-3993.0,,4669.0
TEL2-B.ST,2023,10013.0,,3735.0,4505.0,6151.0,888.0,85.0,-140.0,14.0,85.0,-987.0,-3926.0,,72.0,,72.0,-2757.0,-2764.0,7.0,-1295.0,-1295.0,,54.0,0.0,54.0,1.0,-5589.0,,353.0,353.0,3082.0,-2729.0,,,,-4702.0,,1634.0,498.0,21.0,1116.0,-4059.0,,3082.0,-2729.0,,5954.0
TEL2-B.ST,2024,9778.0,,3870.0,4453.0,5944.0,1068.0,76.0,-60.0,54.0,76.0,-1141.0,-3999.0,,10.0,,,-3080.0,-3083.0,3.0,-892.0,-892.0,,-38.0,-43.0,5.0,1.0,-7100.0,,-893.0,-893.0,3650.0,-4543.0,,,,-4777.0,,317.0,-1321.0,5.0,1634.0,-3975.0,,3650.0,-4543.0,,5803.0
TEL2-B.ST,2025,2786.0,,1196.0,1554.0,1554.0,42.0,8.0,,,8.0,-309.0,-854.0,,-32.0,,,,,,-823.0,,,1.0,,,,-3444.0,,-883.0,-883.0,1584.0,-2467.0,,,,-2219.0,,172.0,-1512.0,-10.0,1693.0,-823.0,,1584.0,-2467.0,,1963.0
TELIA.ST,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1002.0,,-1002.0,,,,,,,,,,,-1002.0,
TELIA.ST,2021,27376.0,,11836.0,20023.0,25000.0,124.0,3021.0,-388.0,3242.0,3021.0,,-10908.0,,-3191.0,,,,,-6614.0,-15530.0,-15647.0,117.0,8959.0,-394.0,9353.0,1.0,-10600.0,,-9541.0,-9240.0,9.0,-9550.0,-14.0,7.0,-21.0,-8179.0,7042.0,14358.0,5868.0,157.0,8332.0,-15647.0,7.0,9.0,-9550.0,-21.0,11729.0
TELIA.ST,2022,24001.0,,-14165.0,38936.0,44493.0,698.0,-736.0,-847.0,1428.0,-736.0,,-9936.0,,6021.0,,,,,-72.0,-15771.0,-15908.0,137.0,137.0,-58.0,195.0,1.0,-21779.0,,-8337.0,-8569.0,15746.0,-24083.0,-46.0,5475.0,-5521.0,-8252.0,-4439.0,6871.0,-7714.0,227.0,14358.0,-15908.0,5475.0,15746.0,-24083.0,-5521.0,8093.0
TELIA.ST,2023,24671.0,,897.0,24185.0,30093.0,175.0,-474.0,168.0,-998.0,-474.0,,-22058.0,,-4940.0,,,,,,-15428.0,-15466.0,38.0,-147.0,-181.0,34.0,-5121.0,2653.0,,7742.0,7427.0,13877.0,-6135.0,0.0,0.0,0.0,-5898.0,1602.0,11764.0,5266.0,-372.0,6871.0,-15466.0,0.0,13877.0,-6135.0,0.0,9205.0
TELIA.ST,2024,21196.0,,7781.0,14217.0,24520.0,1051.0,-3097.0,388.0,-5110.0,-3097.0,,4107.0,,6638.0,,,,,,-13647.0,-13889.0,242.0,8031.0,-40.0,8071.0,-1.0,-27341.0,,-19804.0,-20399.0,79.0,-19883.0,,,,-7864.0,1413.0,9812.0,-2038.0,85.0,11764.0,-13889.0,,79.0,-19883.0,,7307.0
