ticker_market,market,name,country,ticket
CEVG.DE,DE,Centrotec,germany,CEVG
CWCG.DE,DE,Cewe Color,germany,CWCG
DICN.DE,DE,DIC Asset AG,germany,DICn
DBANN.DE,DE,Deutsche Beteiligungs AG,germany,DBANn
DUEG.DE,DE,Duerr AG,germany,DUEG
EV4G.DE,DE,Constantin Medien AG,germany,EV4G
EVDG.DE,DE,CTS Eventim AG,germany,EVDG
GLJN.DE,DE,Grenke,germany,GLJn
GSC1N.DE,DE,Gesco AG,germany,GSC1n
HABG.DE,DE,Hamborner AG,germany,HABG
HAWG.DE,DE,Hawesko AG,germany,HAWG
HBH.DE,DE,Hornbach,germany,HBH
HLGZ.DE,DE,Highlight Communications,germany,HLGZ
INHG.DE,DE,Indus AG,germany,INHG
JUNG_P.DE,DE,Jungheinrich AG,germany,JUNG_p
KWSG.DE,DE,KWS SAAT AG,germany,KWSG
MVVGN.DE,DE,MVV Energie AG,germany,MVVGn
NOEJ.DE,DE,Norma AG,germany,NOEJ
O2C.DE,DE,Petro Welt Tech,germany,O2C
PATGN.DE,DE,Patrizia Immobilien,germany,PATGn
SAXG.DE,DE,Stroeer,germany,SAXG
SCUGE.DE,DE,Schuler AG,germany,SCUGe
SFQN.DE,DE,SAF Holland,germany,SFQN
SIXG.DE,DE,Sixt AG ST,germany,SIXG
SKBG.DE,DE,Koenig&Bauer AG,germany,SKBG
SLTG.DE,DE,Schaltbau,germany,SLTG
TEGG.DE,DE,Tag Immobilien,germany,TEGG
TIMAN.DE,DE,ZEAL Network SE,germany,TIMAn
TTIGN.DE,DE,Tom Tailor AG,germany,TTIGn
TTKG.DE,DE,Takkt AG,germany,TTKG
WACGN.DE,DE,Wacker Neuson,germany,WACGn
ZO1G.DE,DE,Zooplus AG,germany,ZO1G
EVTG.DE,DE,Evotec AG,germany,EVTG
NWON.DE,DE,New Work,germany,NWOn
PSAGN.DE,DE,PSI AG,germany,PSAGn
SBSG.DE,DE,STRATEC Biomedical,germany,SBSG
GIBG.DE,DE,GSW Immobilien AG,germany,GIBG
LM.DE,DE,Legg Mason,germany,LM
T6A.DE,DE,TripAdvisor,germany,T6A
WPEN.DE,DE,WPX Energy,germany,WPEn
XY6.DE,DE,Xylem,germany,XY6
CTNGK.DE,DE,Centrotherm,germany,CTNGk
AVMR.DE,DE,Meritor,germany,AVMR
55O1.DE,DE,Apollo Invest,germany,55O1
DXCM.DE,DE,DexCom,germany,DXCM
AVT.DE,DE,Avnet,germany,AVT
HG1G.DE,DE,Homag AG,germany,HG1G
AEL.DE,DE,American Equity Inv. Life,germany,AEL
AVD.DE,DE,American Vanguard,germany,AVD
M5ZG.DE,DE,Manz AG,germany,M5ZG
SNGGK.DE,DE,Singulus Tech,germany,SNGGk
AVX.DE,DE,AVX,germany,AVX
UUUG.DE,DE,3U Holding AG,germany,UUUG
VSCK.DE,DE,4 SC AG,germany,VSCk
AAQG.DE,DE,AAP Implantate AG,germany,AAQG
APME.DE,DE,AD Pepper Media,germany,APME
AZZ.DE,DE,AZZ,germany,AZZ
ADDG.DE,DE,Adler Modemaerkte AG,germany,ADDG
AGXG.DE,DE,Agennix AG,germany,AGXG
AAHG.DE,DE,Ahlers,germany,AAHG
B.DE,DE,Barnes,germany,B
E0P.DE,DE,Enphase,germany,E0P
B8JN.DE,DE,Basic Energy Services,germany,B8JN
AYDGN.DE,DE,Artnet AG,germany,AYDGn
ACWNN.DE,DE,AS Creation Tapeten,germany,ACWNn
AOFG.DE,DE,Atoss AG,germany,AOFG
BSLG.DE,DE,Basler AG,germany,BSLG
BYWG.DE,DE,Baywa AG,germany,BYWG
BAH.DE,DE,Booz Allen Hamilton,germany,BAH
BIOG.DE,DE,Biotest AG ST,germany,BIOG
BTBB.DE,DE,SLEEPZ,germany,BTBB
BMWG_P.DE,DE,BMW Pref,germany,BMWG_p
BMMG.DE,DE,Brueder Mannesmann,germany,BMMG
COKG.DE,DE,Cancom SE,germany,COKG
CSHG.DE,DE,Cenit AG,germany,CSHG
EBIX.DE,DE,Ebix,germany,EBIX
CSGG.DE,DE,China Specialty Glass AG,germany,CSGG
ECHO.DE,DE,Echo Global,germany,ECHO
COPMA.DE,DE,CompuGroup AG,germany,COPMa
3ER.DE,DE,US Ecology,germany,3ER
CE2G.DE,DE,Cropenergies AG,germany,CE2G
ECPG.DE,DE,Encore Capital,germany,ECPG
BDN.DE,DE,Brandywine,germany,BDN
DAMG.DE,DE,Data Modul AG,germany,DAMG
LOUDG.DE,DE,DEAG AG,germany,LOUDG
DFTKN.DE,DE,DF Deutsche Forfait AG,germany,DFTKn
HNLG.DE,DE,Dr. Hoenle AG,germany,HNLG
DRWG.DE,DE,Draegerwerk ST,germany,DRWG
BE4A.DE,DE,Beazer Homes USA,germany,BE4A
BGSN.DE,DE,B&G Foods,germany,BGSN
EUZG.DE,DE,Eckert&Ziegler AG,germany,EUZG
E4CG.DE,DE,Ecotel AG,germany,E4CG
EING_P.DE,DE,Einhell VZO,germany,EING_p
EE.DE,DE,El Paso Electric,germany,EE
ELGG.DE,DE,Elmos AG,germany,ELGG
ETGG.DE,DE,Envitec,germany,ETGG
ECXN.DE,DE,Epigenomics AG,germany,ECXn
SQ7B.DE,DE,Biglari,germany,SQ7B
A4Y.DE,DE,Accentro Real Estate,germany,A4Y
EUCAN.DE,DE,Euromicron AG,germany,EUCAn
EWI1.DE,DE,Electrawinds SE A,germany,EWI1
EXCL.DE,DE,exceet Group,germany,EXCL
FAAS.DE,DE,Fabasoft AG,germany,FAAS
FVIG.DE,DE,Fair Value AG,germany,FVIG
SISG.DE,DE,First Sensor AG,germany,SISG
FEVG.DE,DE,Fortec,germany,FEVG
FPHG.DE,DE,Francotyp-Postalia,germany,FPHG
BID.DE,DE,Sotheby’s,germany,BID
FEWG.DE,DE,Funkwerk AG,germany,FEWG
GMEG.DE,DE,Geratherm,germany,GMEG
GFTG.DE,DE,GFT Technologies AG,germany,GFTG
GKSG.DE,DE,GK Software,germany,GKSG
EFII.DE,DE,Electronics for Imaging,germany,EFII
G7BG.DE,DE,GWB Immobilien,germany,G7BG
BIOA.DE,DE,Bio-Rad Labs,germany,BIOa
HXCKK.DE,DE,Ernst Russ,germany,HXCKk
HPBGN.DE,DE,Heliad,germany,HPBGn
HNKG.DE,DE,Henkel ST,germany,HNKG
HWSAK.DE,DE,METRIC Mobility Solutions,germany,HWSAk
HBMG.DE,DE,Hornbach-Baumarkt,germany,HBMG
HYQGN.DE,DE,Hypoport AG,germany,HYQGn
EG1.DE,DE,Virtusa,germany,EG1
EGB.DE,DE,The Ensign,germany,EGB
IXXG.DE,DE,Init Innovation,germany,IXXG
EGCA.DE,DE,eGain,germany,EGCA
ISHG.DE,DE,Intershop,germany,ISHG
IS7G.DE,DE,Intica Systems AG,germany,IS7G
IVXG.DE,DE,Invision AG,germany,IVXG
ISRG.DE,DE,Isra Vision,germany,ISRG
BKS.DE,DE,Barnes&Noble,germany,BKS
IVUG.DE,DE,IVU Traffic,germany,IVUG
EGHT.DE,DE,8x8,germany,EGHT
EGOV.DE,DE,NIC,germany,EGOV
K1RG.DE,DE,Kromi,germany,K1RG
KU2G.DE,DE,Kuka AG,germany,KU2G
LEIG.DE,DE,Leifheit AG,germany,LEIG
L1OGK.DE,DE,Lloyd Fonds AG,germany,L1OGk
EGVY.DE,DE,Ever-Glory,germany,EGVY
TGHN.DE,DE,Logwin,germany,TGHN
LPKG.DE,DE,LPKF,germany,LPKG
ECKG.DE,DE,Ludwig Beck,germany,ECKG
EGY.DE,DE,Vaalco Energy,germany,EGY
MANG_P.DE,DE,Man SE VZO,germany,MANG_p
BKU.DE,DE,BankUnited,germany,BKU
MZXG.DE,DE,Masterflex,germany,MZXG
MBBG.DE,DE,MBB Industries AG,germany,MBBG
MEDG.DE,DE,MediClin AG,germany,MEDG
CEC1_P.DE,DE,Metro,germany,CEC1_p
M3VGN.DE,DE,MeVis,germany,M3VGn
MBQGN.DE,DE,Mobotix AG,germany,MBQGn
MGNK.DE,DE,Mologen,germany,MGNK
MUBG.DE,DE,Muehlbauer,germany,MUBG
NEKG.DE,DE,Nemetschek AG,germany,NEKG
NXUG.DE,DE,Nexus,germany,NXUG
BOH.DE,DE,Bank of Hawaii,germany,BOH
OHBG.DE,DE,OHB AG,germany,OHBG
BRKA.DE,DE,Berkshire Hathaway,germany,BRKa
O4BG.DE,DE,OVB Holding AG,germany,O4BG
EIG.DE,DE,Employers,germany,EIG
PA8G.DE,DE,Paion,germany,PA8G
PGNG.DE,DE,Paragon AG,germany,PGNG
RM11.DE,DE,Endologix,germany,RM11
PNEGN.DE,DE,PNE Wind AG,germany,PNEGn
ELY.DE,DE,Callaway Golf,germany,ELY
BRO.DE,DE,Brown&Brown,germany,BRO
BW.DE,DE,Materion,germany,BW
PWOG.DE,DE,Progress Werk Oberkirch,germany,PWOG
PUS.DE,DE,Pulsion,germany,PUS
TPEG.DE,DE,PVA Tepla AG,germany,TPEG
SANT1.DE,DE,S&T AG,germany,SANT1
RSL2.DE,DE,R. Stahl AG,germany,RSL2
RTCG.DE,DE,Realtech AG,germany,RTCG
BYD.DE,DE,Boyd Gaming,germany,BYD
RIB.DE,DE,RIB Software AG,germany,RIB
C08.DE,DE,Caesars,germany,C08
RWEG_P.DE,DE,RWE AG VZO,germany,RWEG_p
ENS.DE,DE,Enersys,germany,ENS
SATG.DE,DE,Sartorius AG,germany,SATG
SATG_P.DE,DE,Sartorius AG VZO,germany,SATG_p
YSNG.DE,DE,Secunet AG,germany,YSNG
C9S.DE,DE,CannTrust,germany,C9S
F3CG.DE,DE,SFC Energy AG,germany,F3CG
SW1.DE,DE,SHW AG,germany,SW1
SZZG.DE,DE,Sinnerschrader,germany,SZZG
SIXG_P.DE,DE,Sixt AG VZO,germany,SIXG_p
S4AG.DE,DE,SMT Scharf AG,germany,S4AG
SYTG.DE,DE,Softing AG,germany,SYTG
SFXG.DE,DE,Solar-Fabrik AG,germany,SFXG
ENZ.DE,DE,Enzo Biochem,germany,ENZ
CAE.DE,DE,CAE Inc.,germany,CAE
SURG.DE,DE,Surteco SE,germany,SURG
EXNGN.DE,DE,Expedeon,germany,EXNGn
CALX.DE,DE,Calix,germany,CALX
SYZG.DE,DE,Syzygy AG,germany,SYZG
TTRGN.DE,DE,Technotrans AG,germany,TTRGn
TGTG.DE,DE,11 88 0 Solutions,germany,TGTG
TLIG.DE,DE,Teles AG,germany,TLIG
HOC.DE,DE,HolidayCheck,germany,HOC
TVDGK.DE,DE,Travel24.Com AG,germany,TVDGk
US5.DE,DE,Ultrasonic AG,germany,US5
ULCG.DE,DE,United Labels,germany,ULCG
UP7G.DE,DE,United Power Tech,germany,UP7G
OSPGK.DE,DE,USU Software AG,germany,OSPGk
ER2N.DE,DE,EMCORE,germany,ER2N
VIBG_P.DE,DE,Villeroy&Boch AG,germany,VIBG_p
V3VGN.DE,DE,Vita 34 AG,germany,V3VGn
WSUG.DE,DE,WashTec AG,germany,WSUG
WUGG.DE,DE,Westag&Getalit ST,germany,WUGG
WUGG_P.DE,DE,Westag&Getalit VZO,germany,WUGG_p
WL6G.DE,DE,Wilex AG,germany,WL6G
WZM.DE,DE,Wizcom,germany,WZM
YOCG.DE,DE,Yoc AG,germany,YOCG
AMA1.DE,DE,Youbisheng Green,germany,AMA1
ZEFG.DE,DE,Zhongde Waste,germany,ZEFG
EOCY.DE,DE,Enel Generacion ADR,germany,EOCy
BR.DE,DE,Broadridge,germany,BR
PHGY.DE,DE,Koninklijke Philips ADR,germany,PHGy
WX7.DE,DE,Corporate Office Properties,germany,WX7
T6O.DE,DE,Tanger Factory Outlet Centers,germany,T6O
2U3.DE,DE,Alcon,germany,2U3
SNH.DE,DE,Senior Housing Properties,germany,SNH
SIX.DE,DE,Six Flags,germany,SIX
ACC.DE,DE,American Campus,germany,ACC
UI51.DE,DE,Waste Connections,germany,UI51
CBL.DE,DE,CBL & Associates,germany,CBL
8CW.DE,DE,Crown Castle,germany,8CW
CNPC.DE,DE,Ingredion,germany,CNPC
F1EF.DE,DE,Fidelity Financial,germany,F1EF
NZT.DE,DE,Spark New Zealand,germany,NZT
ORPI.DE,DE,Old Republic,germany,ORPI
SNH.DE,DE,Senior Housing Properties,germany,SNH
C0Q.DE,DE,Coca Cola HBC AG,germany,C0Q
CNR.DE,DE,Canadian National Railway,germany,CNR
QCSB.DE,DE,NewYork Community Bancorp,germany,QCSB
OHI.DE,DE,Omega Healthcare,germany,OHI
POR.DE,DE,Portland General Electric,germany,POR
AEOS.DE,DE,American Eagle Outfitters,germany,AEOS
BUEY.DE,DE,Buenaventura Mining ADR,germany,BUEy
OII.DE,DE,Oceaneering,germany,OII
AFG.DE,DE,American Financial,germany,AFG
SNH.DE,DE,Senior Housing Properties,germany,SNH
CP.DE,DE,Canadian Pacific Railway,germany,CP
CYH.DE,DE,Community Health Systems,germany,CYH
IVR.DE,DE,Invesco Mortgage,germany,IVR
RBA.DE,DE,Ritchie Bros Auctioneers,germany,RBA
SQM.DE,DE,Sociedad Quimica y Minera,germany,SQM
B7S.DE,DE,Brookdale Senior Living,germany,B7S
GR0A.DE,DE,China Green Agriculture,germany,GR0A
PSRA.DE,DE,CoreCivic,germany,PSRA
LTI.DE,DE,Healthcare RT,germany,LTI
