Ticker,Year,Total Revenue,Net Interest Income,Total Premiums Earned,Total Other Income Expense Net,Interest Expense,Provision for Loan Losses,Selling General Administrative,Other Operating Expenses,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Gross Profit,Operating Expense,Operating Income,Ebit,Extraordinary Items,Effect Of Accounting Charges,Other Items,Income Before Tax,Tax Provision,Net Income Applicable To Common Shares,Net Income,Net Income From Continuing Ops,Discontinued Operations,Normalized Income,Minority Interest,Preferred Dividends,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares
ACX.MC,2022.0,8688494000.0,-43000000.0,,,62799000.0,,,1150690000.0,,,,3082806000.0,2008413000.0,1074393000.0,,,,,,260889000.0,,556054000.0,,,691177038.491474,,,2.16,2.16,257598114.0,257598114.0
ACX.MC,2023.0,6607978000.0,-25332000.0,,,101044000.0,,,863790000.0,,,,2181614000.0,1624553000.0,557061000.0,,,,,,138378000.0,,228128000.0,,,337595451.71031,,,0.92,0.92,249260083.0,249260083.0
ACX.MC,2024.0,5413128000.0,-19870000.0,,,108114000.0,,,809289000.0,,,,1859885000.0,1652161000.0,207724000.0,,,,,,126955000.0,,224946000.0,,,129779894.148746,,,0.9,0.9,249335371.0,249335371.0
AD.AS,2021.0,75600000000.0,-510000000.0,,,535000000.0,,,,,,,20685000000.0,17896000000.0,2789000000.0,,,,,,591000000.0,,2246000000.0,,,2249156000.0,,,2.18,2.17,1028000000.0,1034000000.0
AD.AS,2022.0,86984000000.0,-545000000.0,,,621000000.0,,,,,,,23295000000.0,20190000000.0,3105000000.0,,,,,,714000000.0,,2546000000.0,,,2560782000.0,,,2.56,2.54,995000000.0,1001000000.0
AD.AS,2023.0,88734000000.0,-554000000.0,,,735000000.0,,,,,,,23854000000.0,21422000000.0,2432000000.0,,,,,,456000000.0,,1874000000.0,,,1871594000.0,,,1.95,1.94,962000000.0,966000000.0
AD.AS,2024.0,89357000000.0,-561000000.0,,,782000000.0,,,,,,,23805000000.0,21453000000.0,2352000000.0,,,,,,481000000.0,,1764000000.0,,,1764783000.0,,,1.9,1.89,930000000.0,933000000.0
ADDT-B.ST,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDT-B.ST,2022.0,14038000000.0,-62000000.0,,,51000000.0,,,28000000.0,,,,4321000000.0,2838000000.0,1483000000.0,,,,,,316000000.0,,1074000000.0,,,1065431000.0,,,4.0,3.95,269400116.0,270346000.0
ADDT-B.ST,2023.0,18714000000.0,-144000000.0,,,133000000.0,,,10000000.0,,,,5623000000.0,3495000000.0,2128000000.0,,,,,,451000000.0,,1495000000.0,,,1460900000.0,,,5.55,5.55,269556682.0,269723000.0
ADDT-B.ST,2024.0,20019000000.0,-237000000.0,,,264000000.0,,,9000000.0,,,,6347000000.0,3887000000.0,2460000000.0,,,,,,492000000.0,,1632000000.0,,,1649050000.0,,,6.05,6.05,269633678.0,269761000.0
ADDT-B.ST,2025.0,21796000000.0,-249000000.0,,,271000000.0,,,6000000.0,,,,6992000000.0,4252000000.0,2740000000.0,,,,,,575000000.0,,1892000000.0,,,1870412000.0,,,7.0,7.0,269828982.0,270332000.0
ADM.L,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM.L,2021.0,1547400000.0,-11900000.0,,,13700000.0,,,75500000.0,,,,,,,,,,,,130200000.0,,997900000.0,,,584500000.0,,,3.355,3.345,297480041.0,298351248.0
ADM.L,2022.0,3049000000.0,-12000000.0,,,13500000.0,,,138600000.0,,,,,,,,,,,,75900000.0,,286500000.0,,,286500000.0,,,1.243,1.237,300207330.0,301543390.0
