Ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
GLE.PA,2024-12-31 00:00:00,52509000000.0,,,,,43657000000.0,840000000.0,,,,45127000000.0,,1601000000.0,,,,,,,4200000000.0,,4.38,4.38,795168649.0,795168649.0,4637747500.0,,,,,9892000000.0,,
STLAP.PA,2024-12-31 00:00:00,156878000000.0,136360000000.0,20518000000.0,,,15083000000.0,,5435000000.0,,,1523000000.0,,-1488000000.0,,,,,,,5473000000.0,,1.86,1.84,2949652000.0,2975820000.0,6839764000.0,,,,,472000000.0,,
STMPA.PA,2024-12-31 00:00:00,13269000000.0,8049000000.0,5220000000.0,,,3726000000.0,,1494000000.0,,,85000000.0,,313000000.0,,,,,,,1557000000.0,,1.73,1.66,901210072.0,939345283.0,1610120000.0,,,,,218000000.0,,
TEP.PA,2024-12-31 00:00:00,10280000000.0,6927000000.0,3353000000.0,,,2247800000.0,979000000.0,1105200000.0,,,260000000.0,,346000000.0,,,,,,,523000000.0,,8.76,8.71,59706774.0,60035782.0,566448000.0,,,,,-248000000.0,,
HO.PA,2024-12-31 00:00:00,20576600000.0,15202700000.0,5373900000.0,,,3556900000.0,,1817000000.0,,,337400000.0,,247300000.0,,,,,,,1419500000.0,,6.91,6.89,205523000.0,206021000.0,1431228000.0,,,,,-181800000.0,,
TTE.PA,2024-12-31 00:00:00,195610000000.0,140078000000.0,55532000000.0,,,31427000000.0,31427000000.0,24105000000.0,,,2364000000.0,,10775000000.0,,,,,,,15758000000.0,,6.74,6.69,2337982196.0,2337982196.0,14615750000.0,,,,,-290000000.0,,
URW.PA,2024-12-31 00:00:00,3256100000.0,1209900000.0,2046200000.0,,,203200000.0,,1843000000.0,,,1108100000.0,,112800000.0,,,,,,,146200000.0,,1.05,1.04,139497322.0,141126412.0,140503785.16624,,,,,-466200000.0,,
VIE.PA,2024-12-31 00:00:00,44692000000.0,36924000000.0,7768000000.0,,,4516000000.0,,3252000000.0,,,910000000.0,,566000000.0,,,,,,,1098000000.0,,,,,,1343230000.0,,,,,-989000000.0,,
DG.PA,2024-12-31 00:00:00,72768000000.0,30425000000.0,42343000000.0,,,33765000000.0,10083000000.0,8578000000.0,,,1410000000.0,,2102000000.0,,,,,,,4863000000.0,,8.53,8.43,570142178.0,576555974.0,4774750000.0,,,,,-1410000000.0,,
ADS.DE,2024-12-31 00:00:00,23683000000.0,11658000000.0,12025000000.0,,,10734000000.0,-80000000.0,1291000000.0,,,221000000.0,,297000000.0,,,,,,,764000000.0,,4.28,4.28,178549084.0,178563385.0,722925000.0,,,,,-122000000.0,,
AIR.DE,2024-12-31 00:00:00,69230000000.0,58555000000.0,10675000000.0,,,5871000000.0,,4804000000.0,,,900000000.0,,1347000000.0,,,,,,,4232000000.0,,5.36,5.35,789961671.0,790991077.0,4374880000.0,,,,,39000000.0,,
ALV.DE,2024-12-31 00:00:00,119527000000.0,,,,,,35000000.0,,,,762000000.0,,3476000000.0,,,,,,,9931000000.0,,25.2,25.18,388462381.0,388583250.0,10457400000.0,,,,,-762000000.0,,
BAS.DE,2024-12-31 00:00:00,65260000000.0,48174000000.0,17085000000.0,,,13748000000.0,1806000000.0,3337000000.0,,,1054000000.0,,616000000.0,,,,,,,1298000000.0,,1.45,1.45,892522164.0,894971000.0,2088452000.0,,,,,-574000000.0,,
BAYN.DE,2024-12-31 00:00:00,46606000000.0,21270000000.0,25336000000.0,,,22009000000.0,707000000.0,3327000000.0,,,2358000000.0,,212000000.0,,,,,,,-2552000000.0,,-2.6,-2.6,982420000.0,982420000.0,3625650000.0,,,,,-1897000000.0,,
BEI.DE,2024-12-31 00:00:00,9850000000.0,4090000000.0,5760000000.0,,,4422000000.0,59000000.0,1338000000.0,,,45000000.0,,398000000.0,,,,,,,912000000.0,,,,,,902200000.0,,,,,-10000000.0,,
BMW.DE,2024-12-31 00:00:00,142380000000.0,119485000000.0,22895000000.0,,,11501000000.0,580000000.0,11394000000.0,,,573000000.0,,3293000000.0,,,,,,,7290000000.0,,11.62,11.62,570599065.0,570599065.0,7702300000.0,,,,,82000000.0,,
BNR.DE,2024-12-31 00:00:00,16237400000.0,12210900000.0,4026500000.0,,,3136000000.0,532100000.0,890500000.0,,,145400000.0,,198900000.0,,,,,,,536200000.0,,3.71,3.71,144700000.0,144700000.0,533564233.773229,,,,,-131700000.0,,
CBK.DE,2024-12-31 00:00:00,12362000000.0,,,,,7264000000.0,863000000.0,,,,12884000000.0,,989000000.0,,,,,,,2677000000.0,,2.08,2.08,1187511643.0,1187511643.0,3075454000.0,,,,,8332000000.0,,
CON.DE,2024-12-31 00:00:00,39719000000.0,30918000000.0,8800000000.0,,,8028000000.0,94000000.0,772000000.0,,,450000000.0,,689000000.0,,,,,,,1168000000.0,,5.84,5.84,200000000.0,200000000.0,1221340000.0,,,,,-347000000.0,,
1COV.DE,2024-12-31 00:00:00,14179000000.0,12002000000.0,2177000000.0,,,2150000000.0,57000000.0,27000000.0,,,159000000.0,,245000000.0,,,,,,,-266000000.0,,-1.41,-1.41,188740330.0,188740330.0,-317000000.0,,,,,-108000000.0,,
DTG.DE,2024-12-31 00:00:00,54077000000.0,42879000000.0,11198000000.0,,,7037000000.0,397000000.0,4161000000.0,,,348000000.0,,736000000.0,,,,,,,2900000000.0,,3.64,3.64,796000000.0,796000000.0,2895164000.0,,,,,190000000.0,,
DBK.DE,2024-12-31 00:00:00,30048000000.0,,,,,,,,,,36292000000.0,,1786000000.0,,,,,,,3366000000.0,,1.4,1.37,1993600000.0,2039300000.0,5037780000.0,,,,,13064000000.0,,
DB1.DE,2024-12-31 00:00:00,7023400000.0,2925600000.0,4097800000.0,,,1232200000.0,145500000.0,2865600000.0,,,183300000.0,,698900000.0,,,,,,,1948500000.0,,10.6,10.58,183819548.0,184226044.0,1929800500.0,,,,,-141600000.0,,
DPW.DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTE.DE,2024-12-31 00:00:00,115111000000.0,44741000000.0,70370000000.0,,,46162000000.0,3368000000.0,24208000000.0,,,6755000000.0,,5301000000.0,,,,,,,11209000000.0,,2.27,2.27,4938000000.0,4938000000.0,9977000000.0,,,,,-5170000000.0,,
EOAN.DE,2024-12-31 00:00:00,80119000000.0,57484000000.0,22635000000.0,,,14098000000.0,4031000000.0,8537000000.0,,,2098000000.0,,1769000000.0,,,,,,,4531000000.0,,1.73,1.73,2612000000.0,2612000000.0,4180342000.0,,,,,-1693000000.0,,
FRE.DE,2024-12-31 00:00:00,21833000000.0,16455000000.0,5378000000.0,,,3596000000.0,329000000.0,1782000000.0,,,547000000.0,,521000000.0,,,,,,,471000000.0,,0.84,0.84,563237277.0,563237277.0,1042000000.0,,,,,-432000000.0,,
FME.DE,2024-12-31 00:00:00,19335909000.0,14579257000.0,4756652000.0,,,3289272000.0,-37040000.0,1467380000.0,,,407044000.0,,316056000.0,,,,,,,537913000.0,,1.83,1.83,293413449.0,293413449.0,685024860.0,,,,,-335469000.0,,
HNR1.DE,2024-12-31 00:00:00,2655400000.0,,,,,,528600000.0,,,,152100000.0,,816500000.0,,,,,,,2328700000.0,,19.31,19.31,120597011.0,120597011.0,2328700000.0,,,,,-109100000.0,,
HEI.DE,2024-12-31 00:00:00,21156400000.0,7631800000.0,13524600000.0,,,10681700000.0,2532400000.0,2842900000.0,,,272200000.0,,704300000.0,,,,,,,1781800000.0,,9.87,9.87,180581000.0,180581000.0,1961036145.370191,,,,,-208900000.0,,
HEN3.DE,2024-12-31 00:00:00,21586000000.0,10765000000.0,10820000000.0,,,7993000000.0,136000000.0,2827000000.0,,,129000000.0,,691000000.0,,,,,,,2007000000.0,,4.78,4.78,419874477.0,419874477.0,2004762000.0,,,,,-88000000.0,,
